CompletionTermDesc,Emplid,Crse ID,Term Descrshort,Subject,Catalog Nbr,Class Section,Session Descrshort,Crse Component Descrshort,Crse Descr,Unt Earned - Credits,Crse Grade Off - Grade Earned,Course Code,Outside UMSI
Winter 2024,02884252,050159,WN 2023,SI,579,001,Regular,Lecture,Bldg Interactive App,3.00,A,SI 579,No
Winter 2024,02884252,050164,WN 2023,SI,504,001,Regular,Lecture,"Servers, Shell,&Git",1.50,A,SI 504,No
Winter 2024,02884252,050252,FA 2023,DIGITAL,601,001,Regular,Seminar,Topics Dig Stds,3.00,W,DIGITAL 601,Yes
Winter 2024,03055720,017281,FA 2023,SI,588,002,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2024,03055720,020401,WN 2024,SI,622,002,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2024,03055720,021391,FA 2024,SI,511,127,Regular,Lecture,Special Topics,3.00,A,SI 511,No
Winter 2024,03055720,021400,FA 2023,SI,520,001,Regular,Lecture,Graphic Design,3.00,B,SI 520,No
Winter 2024,03055720,022099,WN 2024,SI,658,001,Regular,Lecture,Info Architecture,3.00,A,SI 658,No
Winter 2024,03055720,022326,WN 2024,SI,581,001,Regular,Lecture,Pres Info Resources,3.00,W,SI 581,No
Winter 2024,03055720,039178,WN 2024,SI,539,001,Regular,Lecture,Web Design,3.00,B+,SI 539,No
Winter 2024,03055720,040667,WN 2024,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2024,03055720,042104,FA 2023,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2024,03055720,044772,FA 2023,SI,582,003,Regular,Lecture,Intro Interac Design,3.00,A,SI 582,No
Winter 2024,03055720,045771,FA 2024,SI,684,001,Regular,Seminar,Design ConsHlth Tech,3.00,A+,SI 684,No
Winter 2024,03055720,047246,FA 2023,SI,506,001,Regular,Lecture,Programming I,3.00,A,SI 506,No
Winter 2024,03055720,047901,FA 2024,SI,699,201,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2024,03055720,048129,FA 2024,SI,505,002,Scnd 7 Wk,Lecture,Career/Intern Studio,1.00,S,SI 505,No
Winter 2024,03055720,049834,WN 2024,SI,591,001,Regular,Lecture,Humanitarian Innov,3.00,A-,SI 591,No
Winter 2024,03055720,050159,FA 2024,SI,579,001,Regular,Lecture,Bldg Interactive App,3.00,B+,SI 579,No
Winter 2024,03055720,050164,FA 2024,SI,504,001,Regular,Lecture,"Servers, Shell,&Git",1.50,B+,SI 504,No
Winter 2024,03383932,001393,FA 2023,EECS,598,007,Regular,Lecture,Special Topics,3.00,A-,EECS 598,Yes
Winter 2024,03383932,001459,FA 2023,SI,690,460,Regular,Seminar,Intern/Field Exper,2.00,S,SI 690,No
Winter 2024,03383932,009732,FA 2022,SI,650,001,Regular,Lecture,Informatn Retrieval,3.00,A+,SI 650,No
Winter 2024,03383932,014748,WN 2023,EECS,545,001,Regular,Lecture,Machine Learn (CSE),3.00,A-,EECS 545,Yes
Winter 2024,03383932,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2024,03383932,041934,FA 2023,SI,608,001,Regular,Lecture,Networks,3.00,A,SI 608,No
Winter 2024,03383932,042091,FA 2022,SI,618,001,Regular,Lecture,Data Man & Analysis,3.00,A,SI 618,No
Winter 2024,03383932,042104,FA 2022,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2024,03383932,045930,FA 2023,SI,671,001,Regular,Lecture,Data Mining,3.00,B-,SI 671,No
Winter 2024,03383932,047226,FA 2023,EECS,504,001,Regular,Lecture,Fnd Computer Vision,3.00,W,EECS 504,Yes
Winter 2024,03383932,047640,FA 2022,SI,507,001,Regular,Lecture,Inter Programming,3.00,A,SI 507,No
Winter 2024,03383932,047901,WN 2024,SI,699,205,Regular,Lecture,MSI Mastery Courses,3.00,B+,SI 699,No
Winter 2024,03383932,048129,FA 2022,SI,505,001,Scnd 7 Wk,Lecture,Career/Intern Studio,1.00,S,SI 505,No
Winter 2024,03383932,048268,WN 2023,SI,630,001,Regular,Lecture,NLP Algorithm People,3.00,A,SI 630,No
Winter 2024,03383932,049601,WN 2023,SI,564,001,Regular,Lecture,SQL & Databases,1.50,A,SI 564,No
Winter 2024,03383932,050164,FA 2022,SI,504,001,Regular,Lecture,"Servers, Shell,&Git",1.50,A,SI 504,No
Winter 2024,03383932,050663,WN 2023,SI,568,001,Regular,Lecture,Intro Appld Data Sci,3.00,A,SI 568,No
Winter 2024,03383932,050983,WN 2023,SI,602,001,Regular,Lecture,Math for ApplDataSci,3.00,B-,SI 602,No
Winter 2024,03443487,017281,FA 2022,SI,588,102,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2024,03443487,020401,WN 2023,SI,622,001,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2024,03443487,021400,FA 2022,SI,520,001,Regular,Lecture,Graphic Design,3.00,A,SI 520,No
Winter 2024,03443487,022099,WN 2023,SI,658,001,Regular,Lecture,Info Architecture,3.00,A,SI 658,No
Winter 2024,03443487,039178,FA 2023,SI,539,001,Regular,Lecture,Web Design,3.00,A,SI 539,No
Winter 2024,03443487,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,4.00,S,SI 681,No
Winter 2024,03443487,042104,FA 2022,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2024,03443487,044772,WN 2023,SI,582,001,Regular,Lecture,Intro Interac Design,3.00,A+,SI 582,No
Winter 2024,03443487,045687,FA 2023,SI,538,001,Regular,Seminar,Citizen Inter Design,4.00,A,SI 538,No
Winter 2024,03443487,047228,FA 2023,ENTR,500,001,Regular,Lecture,Intro to Innovation,3.00,A,ENTR 500,Yes
Winter 2024,03443487,047246,FA 2022,SI,506,001,Regular,Lecture,Programming I,3.00,A,SI 506,No
Winter 2024,03443487,047304,WN 2023,ENTR,550,002,Regular,Lecture,Interpersonal Skills,3.00,A,ENTR 550,Yes
Winter 2024,03443487,047901,WN 2024,SI,699,501,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2024,03443487,048421,WN 2024,ENTR,560,001,Regular,Lecture,Proj Mgmt Consulting,3.00,A,ENTR 560,Yes
Winter 2024,03443487,048488,FA 2023,SI,559,003,Regular,Lecture,AR/VR Intro,3.00,A-,SI 559,No
Winter 2024,03851522,017281,FA 2022,SI,588,001,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2024,03851522,019903,FA 2023,TO,548,001,Regular,Recitation,Integ Pro Dev,3.00,A-,TO 548,Yes
Winter 2024,03851522,020379,FA 2023,IOE,548,001,Regular,Lecture,Int Prod Dev,3.00,A-,IOE 548,Yes
Winter 2024,03851522,020401,WN 2023,SI,622,002,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2024,03851522,021400,FA 2022,SI,520,001,Regular,Lecture,Graphic Design,3.00,A,SI 520,No
Winter 2024,03851522,039178,WN 2023,SI,539,001,Regular,Lecture,Web Design,3.00,A,SI 539,No
Winter 2024,03851522,039979,WN 2024,SI,623,001,Regular,Seminar,Res Meth Info Prof,3.00,B,SI 623,No
